tournament_id,team,first_match_date,elo_at_entry,year
WC-1974,Argentina,1974-06-15,1772.02,1974
WC-1974,Australia,1974-06-14,1688.7,1974
WC-1974,Brazil,1974-06-13,1993.7,1974
WC-1974,Bulgaria,1974-06-15,1727.11,1974
WC-1974,Chile,1974-06-14,1702.02,1974
WC-1974,DR Congo,1974-06-14,1798.75,1974
WC-1974,East Germany,1974-06-14,,1974
WC-1974,Germany,1974-06-14,1979.98,1974
WC-1974,Haiti,1974-06-15,1576.3,1974
WC-1974,Italy,1974-06-15,1872.79,1974
WC-1974,Netherlands,1974-06-15,1711.48,1974
WC-1974,Poland,1974-06-15,1756.9,1974
WC-1974,Scotland,1974-06-14,1669.83,1974
WC-1974,Sweden,1974-06-15,1755.91,1974
WC-1974,Uruguay,1974-06-15,1671.09,1974
WC-1974,Yugoslavia,1974-06-13,1793.78,1974
WC-1978,Argentina,1978-06-02,1830.97,1978
WC-1978,Austria,1978-06-03,1737.38,1978
WC-1978,Brazil,1978-06-03,1959.09,1978
WC-1978,France,1978-06-02,1770.4,1978
WC-1978,Germany,1978-06-01,1972.36,1978
WC-1978,Hungary,1978-06-02,1791.69,1978
WC-1978,Iran,1978-06-03,1801.05,1978
WC-1978,Italy,1978-06-02,1816.04,1978
WC-1978,Mexico,1978-06-02,1711.34,1978
WC-1978,Netherlands,1978-06-03,1986.03,1978
WC-1978,Peru,1978-06-03,1662.52,1978
WC-1978,Poland,1978-06-01,1821.09,1978
WC-1978,Scotland,1978-06-03,1816.57,1978
WC-1978,Spain,1978-06-03,1828.64,1978
WC-1978,Sweden,1978-06-03,1676.65,1978
WC-1978,Tunisia,1978-06-02,1716.23,1978
WC-1982,Algeria,1982-06-16,1674.16,1982
WC-1982,Argentina,1982-06-13,1891.7,1982
WC-1982,Austria,1982-06-17,1806.43,1982
WC-1982,Belgium,1982-06-13,1800.77,1982
WC-1982,Brazil,1982-06-14,1984.61,1982
WC-1982,Cameroon,1982-06-15,1695.51,1982
WC-1982,Chile,1982-06-17,1680.79,1982
WC-1982,Czechoslovakia,1982-06-17,1785.29,1982
WC-1982,El Salvador,1982-06-15,1596.33,1982
WC-1982,England,1982-06-16,1843.19,1982
WC-1982,France,1982-06-16,1771.91,1982
WC-1982,Germany,1982-06-16,2009.41,1982
WC-1982,Honduras,1982-06-16,1607.64,1982
WC-1982,Hungary,1982-06-15,1709.47,1982
WC-1982,Italy,1982-06-14,1788.26,1982
WC-1982,Kuwait,1982-06-17,1738.72,1982
WC-1982,New Zealand,1982-06-15,1712.8,1982
WC-1982,Northern Ireland,1982-06-17,1637.92,1982
WC-1982,Peru,1982-06-15,1682.85,1982
WC-1982,Poland,1982-06-14,1851.52,1982
WC-1982,Russia,1982-06-14,1917.07,1982
WC-1982,Scotland,1982-06-15,1727.47,1982
WC-1982,Spain,1982-06-16,1763.21,1982
WC-1982,Yugoslavia,1982-06-17,1806.73,1982
WC-1986,Algeria,1986-06-03,1709.0,1986
WC-1986,Argentina,1986-06-02,1777.23,1986
WC-1986,Belgium,1986-06-03,1724.85,1986
WC-1986,Brazil,1986-06-01,1822.51,1986
WC-1986,Bulgaria,1986-05-31,1736.2,1986
WC-1986,Canada,1986-06-01,1604.34,1986
WC-1986,Denmark,1986-06-04,1808.31,1986
WC-1986,England,1986-06-03,1907.28,1986
WC-1986,France,1986-06-01,1887.26,1986
WC-1986,Germany,1986-06-04,1859.94,1986
WC-1986,Hungary,1986-06-02,1825.4,1986
WC-1986,Iraq,1986-06-04,1695.47,1986
WC-1986,Italy,1986-05-31,1790.94,1986
WC-1986,Mexico,1986-06-03,1798.26,1986
WC-1986,Morocco,1986-06-02,1689.94,1986
WC-1986,Northern Ireland,1986-06-03,1757.13,1986
WC-1986,Paraguay,1986-06-04,1733.24,1986
WC-1986,Poland,1986-06-02,1726.33,1986
WC-1986,Portugal,1986-06-03,1706.26,1986
WC-1986,Russia,1986-06-02,1875.95,1986
WC-1986,Scotland,1986-06-04,1798.37,1986
WC-1986,South Korea,1986-06-02,1706.99,1986
WC-1986,Spain,1986-06-01,1804.69,1986
WC-1986,Uruguay,1986-06-04,1791.86,1986
WC-1990,Argentina,1990-06-08,1736.3,1990
WC-1990,Austria,1990-06-09,1695.15,1990
WC-1990,Belgium,1990-06-12,1770.18,1990
WC-1990,Brazil,1990-06-10,1925.58,1990
WC-1990,Cameroon,1990-06-08,1696.43,1990
WC-1990,Colombia,1990-06-09,1727.38,1990
WC-1990,Costa Rica,1990-06-11,1584.86,1990
WC-1990,Czechoslovakia,1990-06-10,1784.42,1990
WC-1990,Egypt,1990-06-12,1672.11,1990
WC-1990,England,1990-06-11,1868.52,1990
WC-1990,Germany,1990-06-10,1916.56,1990
WC-1990,Italy,1990-06-09,1887.36,1990
WC-1990,Netherlands,1990-06-12,1952.2,1990
WC-1990,Republic of Ireland,1990-06-11,1808.06,1990
WC-1990,Romania,1990-06-09,1823.65,1990
WC-1990,Russia,1990-06-09,1883.3,1990
WC-1990,Scotland,1990-06-11,1668.84,1990
WC-1990,South Korea,1990-06-12,1806.67,1990
WC-1990,Spain,1990-06-13,1849.52,1990
WC-1990,Sweden,1990-06-10,1880.62,1990
WC-1990,United Arab Emirates,1990-06-09,1566.45,1990
WC-1990,United States,1990-06-10,1561.73,1990
WC-1990,Uruguay,1990-06-13,1830.66,1990
WC-1990,Yugoslavia,1990-06-10,1803.75,1990
WC-1994,Argentina,1994-06-21,1876.83,1994
WC-1994,Belgium,1994-06-19,1770.98,1994
WC-1994,Bolivia,1994-06-17,1635.09,1994
WC-1994,Brazil,1994-06-20,1907.59,1994
WC-1994,Bulgaria,1994-06-21,1738.47,1994
WC-1994,Cameroon,1994-06-19,1739.82,1994
WC-1994,Colombia,1994-06-18,1898.95,1994
WC-1994,Germany,1994-06-17,1960.78,1994
WC-1994,Greece,1994-06-21,1655.18,1994
WC-1994,Italy,1994-06-18,1928.36,1994
WC-1994,Mexico,1994-06-19,1830.81,1994
WC-1994,Morocco,1994-06-19,1729.7,1994
WC-1994,Netherlands,1994-06-20,1941.96,1994
WC-1994,Nigeria,1994-06-21,1814.01,1994
WC-1994,Norway,1994-06-19,1822.9,1994
WC-1994,Republic of Ireland,1994-06-18,1800.18,1994
WC-1994,Romania,1994-06-18,1823.9,1994
WC-1994,Russia,1994-06-20,1820.44,1994
WC-1994,Saudi Arabia,1994-06-20,1712.75,1994
WC-1994,South Korea,1994-06-17,1739.32,1994
WC-1994,Spain,1994-06-17,1837.31,1994
WC-1994,Sweden,1994-06-19,1863.28,1994
WC-1994,Switzerland,1994-06-18,1822.03,1994
WC-1994,United States,1994-06-18,1603.1,1994
WC-1998,Argentina,1998-06-14,1852.9,1998
WC-1998,Austria,1998-06-11,1702.85,1998
WC-1998,Belgium,1998-06-13,1790.1,1998
WC-1998,Brazil,1998-06-10,2102.31,1998
WC-1998,Bulgaria,1998-06-12,1785.2,1998
WC-1998,Cameroon,1998-06-11,1684.16,1998
WC-1998,Chile,1998-06-11,1774.75,1998
WC-1998,Colombia,1998-06-15,1738.65,1998
WC-1998,Croatia,1998-06-14,1822.26,1998
WC-1998,Denmark,1998-06-12,1832.06,1998
WC-1998,England,1998-06-15,1938.64,1998
WC-1998,France,1998-06-12,1953.98,1998
WC-1998,Germany,1998-06-15,2013.68,1998
WC-1998,Iran,1998-06-14,1724.87,1998
WC-1998,Italy,1998-06-11,1920.07,1998
WC-1998,Jamaica,1998-06-14,1714.11,1998
WC-1998,Japan,1998-06-14,1755.24,1998
WC-1998,Mexico,1998-06-13,1854.7,1998
WC-1998,Morocco,1998-06-10,1788.85,1998
WC-1998,Netherlands,1998-06-13,1921.99,1998
WC-1998,Nigeria,1998-06-13,1747.38,1998
WC-1998,Norway,1998-06-10,1893.42,1998
WC-1998,Paraguay,1998-06-12,1706.34,1998
WC-1998,Romania,1998-06-15,1841.78,1998
WC-1998,Saudi Arabia,1998-06-12,1715.99,1998
WC-1998,Scotland,1998-06-10,1754.27,1998
WC-1998,South Africa,1998-06-12,1686.55,1998
WC-1998,South Korea,1998-06-13,1806.98,1998
WC-1998,Spain,1998-06-13,1971.37,1998
WC-1998,Tunisia,1998-06-15,1700.9,1998
WC-1998,United States,1998-06-15,1766.32,1998
WC-1998,Yugoslavia,1998-06-14,,1998
WC-2002,Argentina,2002-06-02,2002.98,2002
WC-2002,Belgium,2002-06-04,1838.34,2002
WC-2002,Brazil,2002-06-03,1883.17,2002
WC-2002,Cameroon,2002-06-01,1881.07,2002
WC-2002,China PR,2002-06-04,1776.25,2002
WC-2002,Costa Rica,2002-06-04,1809.89,2002
WC-2002,Croatia,2002-06-03,1860.06,2002
WC-2002,Denmark,2002-06-01,1868.11,2002
WC-2002,Ecuador,2002-06-03,1742.93,2002
WC-2002,England,2002-06-02,1906.26,2002
WC-2002,France,2002-05-31,2092.74,2002
WC-2002,Germany,2002-06-01,1852.69,2002
WC-2002,Italy,2002-06-03,1983.66,2002
WC-2002,Japan,2002-06-04,1858.38,2002
WC-2002,Mexico,2002-06-03,1868.9,2002
WC-2002,Nigeria,2002-06-02,1837.64,2002
WC-2002,Paraguay,2002-06-02,1726.49,2002
WC-2002,Poland,2002-06-04,1718.29,2002
WC-2002,Portugal,2002-06-05,1955.15,2002
WC-2002,Republic of Ireland,2002-06-01,1863.45,2002
WC-2002,Russia,2002-06-05,1784.33,2002
WC-2002,Saudi Arabia,2002-06-01,1773.99,2002
WC-2002,Senegal,2002-05-31,1789.58,2002
WC-2002,Slovenia,2002-06-02,1728.03,2002
WC-2002,South Africa,2002-06-02,1694.81,2002
WC-2002,South Korea,2002-06-04,1779.95,2002
WC-2002,Spain,2002-06-02,1933.33,2002
WC-2002,Sweden,2002-06-02,1859.57,2002
WC-2002,Tunisia,2002-06-05,1698.28,2002
WC-2002,Turkey,2002-06-03,1749.69,2002
WC-2002,United States,2002-06-05,1830.3,2002
WC-2002,Uruguay,2002-06-01,1820.27,2002
WC-2006,Angola,2006-06-11,1672.34,2006
WC-2006,Argentina,2006-06-10,1946.36,2006
WC-2006,Australia,2006-06-12,1884.14,2006
WC-2006,Brazil,2006-06-13,2058.0,2006
WC-2006,Costa Rica,2006-06-09,1755.99,2006
WC-2006,Croatia,2006-06-13,1845.29,2006
WC-2006,Czech Republic,2006-06-12,1968.01,2006
WC-2006,Ecuador,2006-06-09,1732.05,2006
WC-2006,England,2006-06-10,1976.75,2006
WC-2006,France,2006-06-13,1977.53,2006
WC-2006,Germany,2006-06-09,1922.36,2006
WC-2006,Ghana,2006-06-12,1708.45,2006
WC-2006,Iran,2006-06-11,1893.48,2006
WC-2006,Italy,2006-06-12,1943.15,2006
WC-2006,Ivory Coast,2006-06-10,1843.37,2006
WC-2006,Japan,2006-06-12,1858.1,2006
WC-2006,Mexico,2006-06-11,1886.18,2006
WC-2006,Netherlands,2006-06-11,1992.63,2006
WC-2006,Paraguay,2006-06-10,1789.76,2006
WC-2006,Poland,2006-06-09,1819.74,2006
WC-2006,Portugal,2006-06-11,1917.21,2006
WC-2006,Saudi Arabia,2006-06-14,1650.09,2006
WC-2006,Serbia and Montenegro,2006-06-11,,2006
WC-2006,South Korea,2006-06-13,1787.51,2006
WC-2006,Spain,2006-06-14,1964.64,2006
WC-2006,Sweden,2006-06-10,1870.28,2006
WC-2006,Switzerland,2006-06-13,1802.12,2006
WC-2006,Togo,2006-06-13,1593.84,2006
WC-2006,Trinidad and Tobago,2006-06-10,1657.64,2006
WC-2006,Tunisia,2006-06-14,1781.5,2006
WC-2006,Ukraine,2006-06-14,1792.66,2006
WC-2006,United States,2006-06-12,1886.21,2006
WC-2010,Algeria,2010-06-13,1637.29,2010
WC-2010,Argentina,2010-06-12,1934.51,2010
WC-2010,Australia,2010-06-13,1851.76,2010
WC-2010,Brazil,2010-06-15,2143.63,2010
WC-2010,Cameroon,2010-06-14,1784.53,2010
WC-2010,Chile,2010-06-16,1923.1,2010
WC-2010,Denmark,2010-06-14,1784.55,2010
WC-2010,England,2010-06-12,2021.29,2010
WC-2010,France,2010-06-11,1882.31,2010
WC-2010,Germany,2010-06-13,1976.74,2010
WC-2010,Ghana,2010-06-13,1775.32,2010
WC-2010,Greece,2010-06-12,1752.25,2010
WC-2010,Honduras,2010-06-16,1783.9,2010
WC-2010,Italy,2010-06-14,1953.92,2010
WC-2010,Ivory Coast,2010-06-15,1827.97,2010
WC-2010,Japan,2010-06-14,1763.96,2010
WC-2010,Mexico,2010-06-11,1956.06,2010
WC-2010,Netherlands,2010-06-14,2059.57,2010
WC-2010,New Zealand,2010-06-15,1680.08,2010
WC-2010,Nigeria,2010-06-12,1809.4,2010
WC-2010,North Korea,2010-06-15,1627.56,2010
WC-2010,Paraguay,2010-06-14,1803.15,2010
WC-2010,Portugal,2010-06-15,1897.38,2010
WC-2010,Serbia,2010-06-13,1866.42,2010
WC-2010,Slovakia,2010-06-15,1693.91,2010
WC-2010,Slovenia,2010-06-13,1699.9,2010
WC-2010,South Africa,2010-06-11,1679.11,2010
WC-2010,South Korea,2010-06-12,1838.48,2010
WC-2010,Spain,2010-06-16,2136.02,2010
WC-2010,Switzerland,2010-06-16,1780.04,2010
WC-2010,United States,2010-06-12,1850.82,2010
WC-2010,Uruguay,2010-06-11,1873.96,2010
WC-2014,Algeria,2014-06-17,1712.5,2014
WC-2014,Argentina,2014-06-15,2047.57,2014
WC-2014,Australia,2014-06-13,1795.08,2014
WC-2014,Belgium,2014-06-17,1880.06,2014
WC-2014,Bosnia and Herzegovina,2014-06-15,1818.18,2014
WC-2014,Brazil,2014-06-12,2189.12,2014
WC-2014,Cameroon,2014-06-13,1746.18,2014
WC-2014,Chile,2014-06-13,1962.94,2014
WC-2014,Colombia,2014-06-14,1966.25,2014
WC-2014,Costa Rica,2014-06-14,1788.94,2014
WC-2014,Croatia,2014-06-12,1843.59,2014
WC-2014,Ecuador,2014-06-15,1882.4,2014
WC-2014,England,2014-06-14,1954.76,2014
WC-2014,France,2014-06-15,1926.49,2014
WC-2014,Germany,2014-06-16,2102.21,2014
WC-2014,Ghana,2014-06-16,1805.74,2014
WC-2014,Greece,2014-06-14,1851.79,2014
WC-2014,Honduras,2014-06-15,1755.14,2014
WC-2014,Iran,2014-06-16,1809.9,2014
WC-2014,Italy,2014-06-14,1926.82,2014
WC-2014,Ivory Coast,2014-06-14,1870.46,2014
WC-2014,Japan,2014-06-14,1855.72,2014
WC-2014,Mexico,2014-06-13,1896.83,2014
WC-2014,Netherlands,2014-06-13,2012.19,2014
WC-2014,Nigeria,2014-06-16,1814.71,2014
WC-2014,Portugal,2014-06-16,1973.95,2014
WC-2014,Russia,2014-06-17,1878.24,2014
WC-2014,South Korea,2014-06-17,1751.22,2014
WC-2014,Spain,2014-06-13,2147.43,2014
WC-2014,Switzerland,2014-06-15,1874.96,2014
WC-2014,United States,2014-06-16,1920.8,2014
WC-2014,Uruguay,2014-06-14,1969.23,2014
WC-2018,Argentina,2018-06-16,2045.49,2018
WC-2018,Australia,2018-06-16,1830.75,2018
WC-2018,Belgium,2018-06-18,1984.09,2018
WC-2018,Brazil,2018-06-17,2188.61,2018
WC-2018,Colombia,2018-06-19,1989.23,2018
WC-2018,Costa Rica,2018-06-17,1854.39,2018
WC-2018,Croatia,2018-06-16,1901.58,2018
WC-2018,Denmark,2018-06-16,1878.4,2018
WC-2018,Egypt,2018-06-15,1746.9,2018
WC-2018,England,2018-06-18,1986.76,2018
WC-2018,France,2018-06-16,2026.32,2018
WC-2018,Germany,2018-06-17,2123.23,2018
WC-2018,Iceland,2018-06-16,1821.34,2018
WC-2018,Iran,2018-06-15,1882.38,2018
WC-2018,Japan,2018-06-19,1786.54,2018
WC-2018,Mexico,2018-06-17,1925.79,2018
WC-2018,Morocco,2018-06-15,1818.45,2018
WC-2018,Nigeria,2018-06-16,1733.14,2018
WC-2018,Panama,2018-06-18,1770.1,2018
WC-2018,Peru,2018-06-16,2003.52,2018
WC-2018,Poland,2018-06-19,1872.85,2018
WC-2018,Portugal,2018-06-15,2021.01,2018
WC-2018,Russia,2018-06-14,1732.78,2018
WC-2018,Saudi Arabia,2018-06-14,1689.93,2018
WC-2018,Senegal,2018-06-19,1854.95,2018
WC-2018,Serbia,2018-06-17,1809.33,2018
WC-2018,South Korea,2018-06-18,1785.48,2018
WC-2018,Spain,2018-06-15,2087.51,2018
WC-2018,Sweden,2018-06-18,1831.74,2018
WC-2018,Switzerland,2018-06-17,1931.59,2018
WC-2018,Tunisia,2018-06-18,1766.69,2018
WC-2018,Uruguay,2018-06-15,1938.21,2018
WC-2022,Argentina,2022-11-22,2188.3,2022
WC-2022,Australia,2022-11-22,1829.41,2022
WC-2022,Belgium,2022-11-23,2063.09,2022
WC-2022,Brazil,2022-11-24,2229.09,2022
WC-2022,Cameroon,2022-11-24,1716.32,2022
WC-2022,Canada,2022-11-23,1889.57,2022
WC-2022,Costa Rica,2022-11-23,1861.63,2022
WC-2022,Croatia,2022-11-23,1974.07,2022
WC-2022,Denmark,2022-11-22,2016.14,2022
WC-2022,Ecuador,2022-11-20,1902.41,2022
WC-2022,England,2022-11-21,1973.35,2022
WC-2022,France,2022-11-22,2045.4,2022
WC-2022,Germany,2022-11-23,2016.16,2022
WC-2022,Ghana,2022-11-24,1678.56,2022
WC-2022,Iran,2022-11-21,1894.77,2022
WC-2022,Japan,2022-11-23,1895.26,2022
WC-2022,Mexico,2022-11-22,1905.17,2022
WC-2022,Morocco,2022-11-23,1857.77,2022
WC-2022,Netherlands,2022-11-21,2085.78,2022
WC-2022,Poland,2022-11-22,1862.38,2022
WC-2022,Portugal,2022-11-24,2054.53,2022
WC-2022,Qatar,2022-11-20,1778.19,2022
WC-2022,Saudi Arabia,2022-11-22,1748.21,2022
WC-2022,Senegal,2022-11-21,1795.86,2022
WC-2022,Serbia,2022-11-24,1948.9,2022
WC-2022,South Korea,2022-11-24,1886.27,2022
WC-2022,Spain,2022-11-23,2097.7,2022
WC-2022,Switzerland,2022-11-24,1963.09,2022
WC-2022,Tunisia,2022-11-22,1793.12,2022
WC-2022,United States,2022-11-21,1897.87,2022
WC-2022,Uruguay,2022-11-24,2003.77,2022
WC-2022,Wales,2022-11-21,1832.7,2022
